Gene,Accession,Chromosome,End,Start,Strand,gene_count_corr,fit_r2,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,velocity_genes
WASH7P,ENSG00000227232,1,29570,14404,-,-0.136,-1.635030746459961,,,,,,,,,,,,,,,,False
WASH9P,ENSG00000279457,1,195411,185217,-,-0.1183,-0.8975762128829956,,,,,,,,,,,,,,,,False
NOC2L,ENSG00000188976,1,959309,944203,-,0.0341,0.030684828758239746,,,,,,,,,,,,,,,,False
C1orf159,ENSG00000131591,1,1116361,1081818,-,0.0013,-0.22259008884429932,,,,,,,,,,,,,,,,False
SDF4,ENSG00000078808,1,1232067,1216908,-,0.1695,0.22058874368667603,34.52689625968456,10.570147049333704,0.1143486142715143,19.70844228258174,0.01973491170598815,0.7792515754699707,35.701873779296875,0.23586149654198085,0.0,0.0,0.4990847275479283,2.564115619481962,234.7157887425916,0.9807426702299961,4.128031248956383,False
UBE2J2,ENSG00000160087,1,1273885,1253909,-,-0.0399,0.05996900796890259,39.167603888945244,5.047798614596659,0.21254666120495472,15.884445365509976,0.09242243280013403,2.8062524795532227,48.631927490234375,0.18264067571512888,0.0,0.0,0.4993276206873628,8.103178601901872,175.60770411326968,1.6457854080708698,3.433149543058864,True
ACAP3,ENSG00000131584,1,1309609,1292390,-,-0.0142,-0.16550004482269287,,,,,,,,,,,,,,,,False
INTS11,ENSG00000127054,1,1324691,1311585,-,-0.104,-0.18996572494506836,,,,,,,,,,,,,,,,False
MXRA8,ENSG00000162576,1,1361777,1352689,-,0.0416,0.9999999999999934,0.9170916617449909,0.5713600514294328,0.8020938120381943,11.03008919837033,0.6247479021549225,0.2797940969467163,0.1914563924074173,0.17419056241030065,0.0,0.0,0.4755225293792534,1.6027567033507066,1.09672795287494,0.10446492116230705,1.2701145470269364,True
AURKAIP1,ENSG00000175756,1,1375495,1373730,-,0.3207,-0.022623777389526367,,,,,,,,,,,,,,,,False
CCNL2,ENSG00000221978,1,1399335,1385711,-,-0.2292,-0.8910627365112305,,,,,,,,,,,,,,,,False
MRPL20,ENSG00000242485,1,1407293,1401909,-,0.285,-0.3181331157684326,,,,,,,,,,,,,,,,False
SSU72,ENSG00000160075,1,1574863,1541673,-,0.0229,0.15505778789520264,19.478145889052144,4.011243368908437,0.07233641435931025,28.32688566059325,0.044219011751314,2.4074316024780273,49.90641403198242,0.2304394154479951,0.0,0.0,0.49915349713131385,5.2528759966211185,221.06161814722523,1.0303123859965466,5.168010586507358,True
CDK11B,ENSG00000248333,1,1659012,1635227,-,-0.0451,0.03550839424133301,23.159609276450883,1.1673740603057088,0.1825460313953683,5.914927153116774,0.5271586428085963,7.212526321411133,15.962204933166504,0.1411670504331218,0.0,0.0,0.49875944450275705,17.561233883373227,55.21119189673457,1.5384050718262374,1.895812662186095,True
SLC35E2B,ENSG00000189339,1,1692795,1659529,-,-0.0434,-0.0804286003112793,,,,,,,,,,,,,,,,False
